entity	title	definition	example_technologies
TX06.5.4	Space Weather Prediction	Solar particle event (SPE) forecasting and alert systems seek to minimize operational constraints for missions outside the protection of Earth's geomagnetic field.	Tool for all-clear forecasting of SPE onset, tool for forecasting SPE intensity and evolution, probabilistic models (tools) of SPE spectral characteristics and astronaut risks, ensemble coronal mass ejection forecasting for mission impact assessment, high-performance computing architecture that supports real-time implementation of operation forecasts
TX06.5.5	Monitoring Technology	Radiation monitoring technologies are active electronic devices composed of dedicated sensors and dedicated readout and processing electronics. Radiation sensors are specific to the type of radiation being detected (e.g., charged particles, neutrons, gamma rays). The processing electronics are specific to the sensor the electronics are paired with as well as to the quantity of the radiation field being measured. Radiation monitoring is used to characterize the radiation environment that crew and spacecraft are exposed to during phases of the mission. Radiation monitoring can also provide information regarding how exposure to a given radiation environment affects humans and spacecraft hardware.	Active Personal Dosimetry for Intravehicular Activities and Extravehicular Activities, Compact Biological Dosimetry (Biodosimetry), In-Situ Active Warning and Monitoring Dosimetry, Miniaturized Low-Power Charged-Particle Spectrometers with Active Warning, Miniaturized Low-Power Neutron Spectrometers with Active Warning
TX06.6	Human Systems Integration	Human systems integration (HSI) focuses on improving total system performance by integrating human considerations throughout the design, implementation, and operation of hardware and software. These considerations are incorporated through applying technologies that support analysis, testing, and modeling of human performance, interface controls/displays, and human interaction with automations. Activities associated with human factors engineering, training, habitability, operations effectiveness, safety, and maintainability are considered concurrently and integrated with all other system design activities.	
TX06.6.1	Human Factors Engineering	Human factors engineering focuses on ensuring that the system design is integrated and compatible with human tasks and the sensory, perceptual, mental, and physical attributes of the personnel who will operate, control, maintain, train, and support the equipment, system, or facility throughout its life cycle.	Frameworks for dynamic multi-agent function allocation, advanced user interfaces, tools to augment human physical and cognitive performance, integrated human-system verification and validation (V&V) methods, human physical and cognitive performance models, human-systems interfaces for increased autonomy and new environments, new con-ops models for crew-vehicle-ground interactions.
TX06.6.2	Training	Training focuses on enabling users, operators, maintainers, trainers, and support personnel to acquire, maintain, or enhance their knowledge and skills and concurrently develop their cognitive, physical, sensory, teamwork, and adaptive abilities to conduct operations. The goal of the training system should be to develop and sustain well-trained personnel while considering options that can reduce life cycle costs and provide positive contributions to the system.	Framework for an integrated training design that supports skill acquisition, retention, and transfer; simulators designs based on human perception capabilities that provide the necessary level of fidelity to ensure training transfer to the operational environment; just-in-time training capabilities for in-mission or on-the-job initial and refresher training.
TX06.6.3	Habitability and Environment	Habitability and environment focuses on external and internal environment considerations related to human habitat and exposure to the natural environment. This area includes the factors of the living and working conditions that are necessary to sustain the safety, health, performance, and morale of personnel and that directly affect personnel effectiveness and mission success.	Robust countermeasures to mitigate environmental impacts on human performance and capability to perform, integrated habitat support system, long-duration microgravity workstation and habitat tools
TX06.6.4	Operations Effectiveness	This area covers technologies for applying HSI knowledge and processes to enable robust, cost-effective operations while minimizing risk of human error. Operations effectiveness influences mission architecture, system design, command and control structure, operations system design, and operations planning and execution for increased mission performance. This area includes operability and human effectiveness for flight and ground crews to drive system design and development phases. The area also addresses the trade space for function allocation, automation, and autonomy.	Mission architecture modeling for crew size determination in response to mission task/function definition; formal allocation of functions between crew, ground operators, and automation/autonomy, as well as among multiple loci of control; operations design for multiple communications time-delay regimes; control and display design to maximize situational awareness and reduce distraction; training methodologies to ensure effective human response when automation/autonomy fails in time-critical situations
TX06.6.5	Integrated Systems Safety	The focus of this area is on addressing hazards and minimizing the risk of death, injury, acute or chronic illness, disability; and reduced job performance of personnel who operate, maintain, train, or support the system. Special attention should be given to integration, since some hazards may occur because of the integration of components and not the design of the component.	Integrated risk and hazard analysis tools, integrated failure analysis tools; system safety taxonomies, root-cause analysis tools.
TX06.6.6	Maintainability and Supportability	This area focuses on design that simplifies maintenance and optimizes human resources, spares, consumables, and logistics, which are essential because of limited time for, access to, and distance of space missions.	Integrated Electronic Technical Manuals; tool management system; onboard skills training; reliable reliability analyses; onboard failure prediction, detection, and diagnostics system; human task assistance system (may include "robots"); onboard, on-demand component fabrication (note: must address cable, IC, suit component/fabric, and computer display fabrication, in addition to mechanical fab); integrated ecological system (sewage and organic matter—including anaerobic products such as methane, H2, and succinates—processing by organisms, plant growth for food and air); onboard biotechnology capability to deal with unforeseen medical and ecological failures; onboard logistics and stowage management system
TX06.X	Other Human Health, Life Support, and Habitation Systems	This area covers human health, life support, and habitation systems technologies that are not otherwise covered in the subparagraphs outlined in TX06 of the 2024 NASA Technology Taxonomy.	
TX07	Exploration Destination Systems		
TX07.1	In Situ Resource Use	In situ resource-use technologies identify, acquire, and use local resources, both natural and discarded, for products and services.	
TX07.1.1	Destination Resource Exploration	Destination resource exploration technologies characterize, sample, and map the surface environment to quantify the locations and abundance of material and energy resources accessible from the surface. Orbital remote sensing and deployed surface devices and instruments are used to probe, sample, and analyze possible dynamic atmospheric and surface/subsurface material composition and physical/chemical properties. This mapping combines environmental, terrain, geological, and resource information to estimate accessibility and plan extraction operations.	Instruments and devices to: detect, locate, and quantify specific surface and subsurface chemical species (such as water or other high-value elements or minerals); determine properties of the destination atmosphere including composition, dynamic behavior, and other environmental factors related to utilization of atmospheric resources; measure geotechnical (mechanical) properties of the destination surface and subsurface for assessments of resource accessibility; assess or measure interactions between the surface environment and exploration capabilities (e.g. rocket plumes) that may affect resource accessibility; and models and simulate to extend discrete-site resource sampling into a broader mapping of accessible resources
TX07.1.2	Resource Acquisition, Isolation, and Preparation	Resource acquisition, isolation, and preparation technologies access, extract, isolate, concentrate, modify, and purify resource-bearing materials in preparation for further processing. Resource-bearing materials include locally acquired materials and byproducts of mission operations that become available for recycling.	Instruments and devices functioning in the relevant gravity environment to: penetrate, cut, drill, extract, or excavate surface and subsurface regolith that is either resource-bearing or inert overburden; prepare granular regolith through grinding, crushing, sorting, and mixing; collect, filter, isolate, and accumulate resource-bearing atmospheric gases; collect, separate, and purify recyclable water and organic and inorganic by-products of mission operations; convey resource-bearing granular surface materials or atmospheric gases from the point of extraction to resource processing assets; separate target resources from extraterrestrial materials and gases including beneficiation and atmospheric gas separation; models and simulations to identify and quantify opportunities for systemic power reduction, durability, and reliability enhancements for resource acquisition systems
TX07.1.3	Resource Processing for Production of Mission Consumables	This area covers resource processing technologies that produce mission consumables, such as water, breathable oxygen, inert gases, and propellants, from preprocessed resources.	Instruments and devices functioning in the relevant gravity environment including: thermal/mechanical components and reactors to extract end-product resources from inert materials (e.g. thermal reactors for volatile extraction from regolith); chemical, electrochemical, and biological materials, catalysts, components, and reactors to extract and combine resources to produce end-products (e.g. catalytic reactors to produce methane, electrolysis devices to produce oxygen, etc.); phase-change devices to extract or distill end-product gases from by-product recycling sources (e.g. cryocoolers for gas product drying); filtration and purification devices for meeting mission-critical end use requirements; crosscutting technologies for enhancing production system durability and reliability in harsh environments (e.g. dust tolerant seals and bearings); crosscutting technologies for utilizing sources of high-temperature thermal energy for process-heating (e.g. integrated solar concentrators); and models and simulations to identify and quantify opportunities for systemic reductions in power requirements and enhancements in durability and reliability for resource processing systems
TX07.1.4	Resource Processing for Production of Manufacturing, Construction, and Energy Storage Feedstock Materials	This area covers resource processing technologies that produce feedstock for in situ manufacturing, construction, and thermal energy storage systems.	Instruments and devices functioning in the relevant gravity environment, including: production of granular material by grinding, crushing, sorting, and mixing; chemical, electrochemical, and biological processing to extract and combine resources to produce manufacturing feedstock (e.g. metal extraction and separation, ceramic materials extraction, plastic production, etc.); physical, chemical, thermal, and biological pretreatment of raw feedstock materials to meet purity standards required for manufacturing or construction processes; evaluation of suitability of locally-produced and recycled material batches for intended construction and assembly processes; conveyance of feedstock to manufacturing and construction assets; and models and simulations to identify and quantify opportunities for systemic reductions in power requirements and enhancements in durability and reliability for resource processing systems
TX07.2	Mission Infrastructure, Sustainability, and Supportability	This area covers technologies required to establish a self-sufficient, sustainable, and affordable space exploration program.	
TX07.2.1	Logistics Management	Logistics management technologies institute a centralized logistic depot to manage and optimize the use of Earth-supplied consumables at the exploration destination via residual recovery, repurposing, recycling, commonality, and parts repurposing.	Propellant scavenging, flexible, vacuum-rated liquid storage bags, power scavenged wireless sensor tag systems, dense zone technology (radio frequency identification enclosure), sparse zone technology, logistics complex event processing, six degrees of freedom logistics tag system, packaging foam, additive printer feedstock, autonomous logistics translation and unpacking, logistical waste (e.g. food packaging, cargo transfer bags, etc.) repurposing or recycling into new materials, logistics carriers, packaging, and restraint systems
TX07.2.2	In Situ Manufacturing, Maintenance, and Repair	In situ manufacturing, maintenance, and repair technologies manufacture items using feedstock produced from in situ resources and recycled materials and provide system evaluation, preventive maintenance, and corrective actions for human exploration systems.	Design tools configured to accommodate broad-specification feedstock properties into design safety factors and manufacturing tolerances, instruments and devices functioning in the relevant gravity environment, including: additive manufacturing using broad-specification feedstock from terrestrially-delivered, locally-produced, and recycled materials; subtractive manufacturing using broad-specification feedstock from terrestrially-delivered, locally-produced, and recycled materials; evaluating suitability of locally-produced and recycled material batches for intended manufacturing processes; quality assurance and mission suitability of devices and parts manufactured using terrestrially-delivered, locally-produced, and recycled materials; devices to conduct routine, early fault detection of operational surface systems
TX07.2.3	Surface Construction and Assembly	Surface construction and assembly covers technologies for construction, assembly, disassembly, and reverse assembly of surface structures, including traditional construction, assembly, and disassembly concepts and advanced systems.	Instruments and devices functioning in the relevant gravity environment, including consolidation and stabilization of regolith on large scales, including microwave and concentrated solar irradiation and the addition of physical or chemical additives; manufacturing of structural elements using feedstock derived from locally-produced and recycled materials; assembly of structural and environmental barrier systems from terrestrially-delivered and/or locally-derived elements; quality assurance and mission suitability of structural elements and environmental barrier systems constructed and assembled in-situ. Also includes design tools configured to accommodate broad-specification feedstock properties into design safety factors and manufacturing tolerances for construction and assembly systems, human-robotics (e.g. low-latency telerobotics), autonomous robotic systems
TX07.2.4	Microgravity Construction and Assembly	Microgravity construction and assembly technologies transform the way large structures in space are manufactured, assembled, disassembled, reverse assembled, and repaired. These technologies provide a robust space infrastructure free of launch window scheduling, launch vehicle mass limitations, and astronaut safety concerns.	On-orbit three dimensional (3D) manufacturing, robotic arms/manipulators, in-space truss manufacturing, low-latency telerobotics
TX07.2.5	Particulate Contamination Prevention and Mitigation	Particulate contamination prevention and mitigation provides a layered engineering defense that incorporates technologies for contamination prevention, exterior cleaning and protection, interior cleaning and protection, and gas quality preservation. This area also includes technologies associated with modeling plume and soil interactions.	"Tunnels" to minimize regolith transfer during extravehicular activities (EVAs); air and airlock cleaning; sample handling; dust covers; dissipation, reduction, and/or elimination of triboelectric charge build-up; passive cleaning; dust repellant, dust shedding materials and coatings; electrodynamic removal; electron discharge and bombardment; magnetic brushes; dust removal brushes; self-cleaning connectors; forced gas showers; forced gas cleaning of hard surfaces; Failure Isolation, Detection, and Recovery (FIDR); plume mitigation; deployable landing surfaces; deployable/erectable blast curtain around landing site; plume-resistant concrete; high fidelity, two-phase flow modeling for plume-soil interaction
TX07.3	Mission Operations and Safety	This area covers mission operations and safety technologies to manage space missions, usually from the point of launch to the end of the mission.	
TX07.3.1	Mission Planning and Design	Mission planning and design technologies manage long-duration space missions over long time delays from the point of launch to the end of the missions. Technologies should address the integrated coupling of trajectory, spacecraft, and system design.	Software for rapid mission development and analysis, toolsets for spacecraft design and mission simulation, concurrent engineering tools and processes, rapid prototyping
TX07.3.2	Integrated Flight Operations Systems	Integrated flight operations for long-duration, deep-space missions will require striking complex balances between ground and space operations, with a shift toward increasing crew autonomy that will benefit from autonomous systems and comprehensive, highly integrated operational systems. Transparent and resilient systems and procedures must be designed to enable the human role in flight-critical systems.	Autonomous crew operations, autonomous ground operations, validated adaptive decision support for Earth-independent operations and contingency response, technologies to enable real-time situation understanding and shared intent between humans and machines, validated resilient teaming of humans and machines in limited nominal and off-nominal conditions that properly allocate roles and responsibilities, advanced ground launch operations for ascent vehicles, mission architecture modeling: ensuring mission objectives can be met by the combination of human performance and system capability, informing mission architecture selection, and automated FDIR
TX07.3.3	Training	Training technologies support efficient and effective crew and mission operations training and multiagent teaming for complex systems for nominal, off-nominal, infrequent, and unexpected events.	Training methodologies to ensure effective human response when automation/autonomy fail in time-critical situations, efficient and effective multi-agent team training and performance, just in time training technologies based on understanding of acquisition and maintenance of skilled performance and expertise, training environments and task support tools that are integrated with system design, new training methods and tools required for evolving skills and tasks, intelligent software utilizing expert systems, data mining algorithms, advanced or intelligent hardware (such as lightweight, low-power virtual reality (VR) systems, situational awareness sensors, etc.)
TX07.3.4	Integrated Risk Assessment Tools	Integrated risk assessment tools for deep-space, long-duration missions help identify and analyze risks, reducing threats to crews and missions.	Probabilistic Risk Assessment (PRA) toolset
TX07.3.5	Planetary Protection	These technologies address threats that astronauts, hardware, and samples returning from other solar system bodies cause to the Earth-Moon system.	Sterilization modalities beyond time/temperature, cleanable adhesive surfaces for variable gravity, cleaning protocols beyond alcohol and bleach, microbial burden identification and monitoring, recontamination prevention and modeling, debris quantification for planetary material, biobarriers for whole spacecraft, particle transport modeling, dust analyzers, standoff detection of biological contamination, post-return sample containment, sample containment systems, trajectory analysis
TX07.X	Other Exploration Destination Systems	This area covers exploration destination systems technologies that are not otherwise covered in the subparagraphs outlined in TX07 of the 2024 NASA Technology Taxonomy.	
TX08	Sensors and Instruments		
TX08.1	Remote Sensing Instruments and Sensors	Remote sensing instruments and sensors include components, sensors, and instruments that are sensitive to electromagnetic radiation; particles (charged, neutral, dust); electromagnetic fields, both direct current (DC) and alternating current (AC); acoustic energy; seismic energy; and whatever physical phenomenology the science requires. These instruments and sensors can be active or passive devices, depending on the measurement regime and detection technology.	
TX08.1.1	Detectors and Focal Planes	Detectors, focal planes, and readout integrated circuits (ROICs) provide large-format array technologies that require high quantum efficiency (QE); low noise, high resolution, uniform, and stable response; low power and cost; and high reliability. These technologies include low-noise, high-speed, low-power, and radiation hardened ROIC electronics; superconducting sensors; spectral detectors; polarization-sensitive detectors; radiation-hardened detectors; and micro-Kelvin and sub-Kelvin high sensitivity detectors that cover the spectrum from submillimeter wave (Far-IR) to X-ray.	Backshort Undergrid bolometer arrays, Mercury Cadmium Telluride and Strained Superlattice Arrays, charge coupled devices, sidecar readout integrated circuits, radiometric calibration and abnormality correction algorithms (e.g. non-uniformity)
TX08.1.2	Electronics	Electronics include analog and mixed-signal instrument electronics and associated packaging technology that are designed for reuse and/or extensibility and that have reduced volume, mass, and power that can operate over a wide temperature range and other extreme environments, such as high radiation. This area includes detector support electronics such as digital back ends; high-voltage power supplies; wireless networking techniques; and integrated electronic, photonic, and sensor readouts that enable significant signal processing and data compression.	Analog and mixed-signal instrument front end electronics application-specific integrated circuits (ASICs), Field Programmable Gate Arrays (FPGAs) and discrete components (e.g., radio frequency (RF) System on Chip, Multi-Channel Digitizer (MCD); control and bias voltage electronics; low noise amplifiers; multi-channel A/D and D/A Converters; trans-impedance amplifiers and bias generators), space cube, onboard Synthetic Aperture Radar (SAR) processor, Modular Unified Space Technology Avionics for Next Generation missions (MUSTANG), nanoelectronics
TX08.1.3	Optical Components	Optical component technologies are ultimately aimed at finding breakthrough technologies that can enable entirely new instrument or observatory architectures. Optical component technologies are grouped in the following categories: ultraviolet imaging, wide field of view imaging for near-Earth asteroids, and instruments for quantum interferometry. These improvements in optical components must complement improvements in associated detectors.	Mirrors, lenses, interferometers, gratings, prisms, fibers, dynamic pointing components (e.g. field steering mirrors), active optical elements, advanced surface technologies (e.g. frequency selective surfaces and composites), ground metrology and systems
TX08.1.4	Microwave, Millimeter Waves, and Submillimeter Waves	Microwave and radio transmitter and receiver component technologies for the 30 kHz to 10 THz range include integrated radar transmitter/receiver (T/R) modules and integrated radiometer receivers, active microwave instruments (radar), passive radiometers (microwave and far infrared), and crosscutting technologies such as radiation-hardened electronics.	Laser heterodyne and gas correlation radiometers, low noise receivers, transmit/receive modules, couplers/combiners, isolators, amplifiers, filters, antennas, waveguide components
TX08.1.5	Lasers	Passive laser technologies, such as laser heterodyne radiometry, can involve low-power elements such as distributive feedback (DFB) lasers. Active laser systems that pass through the atmosphere to make a measurement, such as light detecting and ranging (LIDAR), require higher-powered laser elements.	Pulsed lasers, and the electro-optical components that support them like fibers, gratings, crystals, laser diodes, electro-optical modulators, nanolasers
TX08.1.6	Cryogenic/Thermal Systems	Space-qualified cryogenic and thermal systems include both passive and active technologies used to cool instruments, focal planes, sensors, and large optical systems. Cryogenic and thermal system component technologies are grouped into the following categories: micro-Kelvin, sub-Kelvin (K), 4–20 K, and low-cost cryocoolers; all have requirements for low power, low mass, and low exported vibration during operation.	Adiabatic demagnetization refrigerators; dilution refrigerators; sorption coolers and supporting components; cryocoolers, like Stirling refrigerators, Brayton Cycle refrigerators, pulse tube refrigerators, Joule-Thomson coolers; and supporting cryogenic thermal control components like heat straps, heat pipes, cryogenic radiators
TX08.2	Observatories	Observatory technologies are necessary to design, manufacture, test, and operate space telescopes and antennas that collect, concentrate, or transmit photons. Observatory technologies enable or enhance large-aperture monolithic and segmented single apertures as well as structurally connected or free-flying sparse and interferometric apertures. Applications span the electromagnetic spectrum.	
TX08.2.1	Mirror Systems	Mirror systems development aims to increase sensitivity and resolution, such as improved resolution of X-ray grazing incidence optics and reduced areal costs for aperture systems >10 m in diameter.	Ground metrology and systems; integrated electronic, integrated photonic, sensor readouts that enable significant data compression; low-noise, low-power, high-performance analog and mixed signal electronic components, and electronics packaging technology capable of operating in and surviving extreme temperatures. Sensor electronics designs to accommodate reduced size, weight, and power (SWaP), including wireless networking techniques. Analog and Mixed-Signal Instrument front end electronics ASICs, FPGAs and discrete components, space cube, onboard SAR processor, MUSTANG, supporting nanoelectronic elements, and supporting high-voltage power supplies.
TX08.2.2	Structures and Antennas	Structure and antenna development aims to provide lightweight, space compatible metering structures that can be efficiently packaged for launch, precisely deployed or erected in orbit, and maintain stability for instrument operation by including adaptive control of the deployed shape, wavefront control, and materials. The systems include phased arrays and reflectors and may be either static or scanning.	James Webb Space telescope (JWST) deployment system and the JWST sunshade, Soil Moisture Active Passive (SMAP) and NASA-ISRO Synthetic Aperture Radar (NISAR) deployable mesh antenna and boom system, metering system for the Nuclear Spectroscopic Telescope Array (NUSTAR) X-ray optics
TX08.2.3	Distributed Aperture	Distributed-aperture technologies aim to provide a robust, reliable capability for precise in-space positioning of multiple spacecraft over both small (50 m for an exoplanet interferometer or X-ray telescope) and large (50 mm for a starshade and a telescope) interspacecraft distances. These technologies also aim to implement long-baseline instrumentation and distributed sensors.	Submillimeter Probe of the Evolution of Cosmic Structure (SPECS), laser interferometer space antenna
TX08.3	In Situ Instruments and Sensors	In situ instruments and sensors include components, sensors, and instruments that are sensitive to fields and particles able to perform in situ characterization of Earth and planetary atmospheres and the space environment and that provide vehicle and habitat monitoring.	
TX08.3.1	Field and Particle Detectors	Field detectors include millimeter wave through X-ray sensors, magnetic and electric field sensors, gravity-wave sensors, magnetometers, and imaging radiometers and spectrometers. Particle detectors include neutral particle sensors, ionic particle sensors, and plasma detectors. This area includes support for electronic technologies for power, mitigation of environmental effects such as temperature drift and background radiation contamination, and calibration.	Fast Plasma Instrument (FPI), Dual Ion Sensors (DIS) Dual Electron Sensors (DES), Analog Fluxgate Magnetometer (AFG)
TX08.3.2	Atomic and Molecular Species Assessment	Sensors for atomic and molecular species identification include mass spectrometers, such as ion trap, Orbitrap, and Quadrupole mass filters and time-of-flight; microscopes and optical spectrometers for chemical analysis, such as femtosecond lasers; Raman laser systems, passive optical chemical sensors, and Fourier transform spectrometers; grating spectrometers; laser heterodyne radiometers; X-ray diffraction; tunable diode laser absorption instruments; LIDARs; and gas correlation radiometers.	Sample Analysis at Mars (SAM), Mars Organic Molecule Analyser (MOMA), gas chromatographs, microfluidic systems, absorption spectrometers
TX08.3.3	Sample Handling	Sample handling technologies accept samples from the devices gathering them and deliver the samples to the appropriate instrument for analysis. The technologies also seal and store samples to maintain the local environment and separate and prepare samples for chemical analysis while maintaining sample and environmental integrity.	The rock abrasion tool (RAT), drills, sample return storage units, sample preparation tools
TX08.3.4	Environment Sensors	Environment sensors provide local environmental measures, such as vehicle health and habitation health, and include sensors such as seismometers, weather sensors (temperature, wind speed, atmospheric pressure, humidity), static electric field, chemical species, structural measures (pressure, strain, etc.), and particle detectors.	Temperature, humidity, wind speed and direction, atmospheric pressure, seismic
TX08.3.5	Electromagnetic Wave–Based Sensors	Electromagnetic wave–based sensors are sensor systems that use ultraviolet-, millimeter wave–, and fiber optic–based detectors for discrete measurements and for system monitoring and control.	Strain, temperature, pressure, structure/materials, etc. measurements
TX08.3.6	Extreme Environments Related to Critical System Health Management	Extreme environment sensors are capable of operating in extreme environments, including those with high temperatures and extreme temperature ranges, high pressure, highly reactive flows, high vibration and acceleration levels, very low temperatures, high vacuum, reduced or near-zero gravity, and exposure to abrasive particulate impacts.	Sensors of temperature, pressure, vibration, electrical current and voltage, torque, mechanical stress and strain, chemical sensors, optical or electromagnetic sensors
TX08.X	Other Sensors and Instruments	This area covers sensors and instruments technologies that are not otherwise covered in the subparagraphs outlined in TX08 of the 2024 NASA Technology Taxonomy.	
TX09	Entry, Descent, and Landing		
TX09.1	Aeroassist and Atmospheric Entry	Aeroassist and atmospheric entry (AAE) is a mission segment in which a spacecraft transits a planetary atmosphere from direct entry or orbit. Key functions of the spacecraft during the entry segment are aerodynamic stability, thermal management, guidance and control, and structural integrity.	
TX09.1.1	Thermal Protection Systems	A thermal protection system (TPS) is the set of thermal and structural materials, coatings, integration techniques, and manufacturing methods that protect the entry system from the extreme heating and aerodynamic forces a spacecraft experiences during hypersonic atmospheric transit.	Extreme environment ablative TPS; high-reliability TPS; conformal ablative TPS; multifunctional, shock layer radiation-reflective material; Multifunctional, Micrometeoroid Orbital Debris (MMOD)-tolerant materials; solar and space radiation attenuating materials; multifunctional thermo-structural materials; Non-Destructive Evaluation (NDE)
TX09.1.2	Hypersonic Decelerators	Hypersonic decelerators are entry-system components that generate and manage aerodynamic forces on the transiting spacecraft during AAE; these forces are principally drag for deceleration and lift for guidance and control. Traditionally, the decelerator is an enveloping rigid aeroshell that surrounds the payload. Other concepts include inflatable or mechanically deployed aerosurfaces either on the front-facing spacecraft or trailing tethered devices. Hypersonic decelerators may be largely passive or may be actively controlled to achieve a desired trajectory while maintaining operational constraints on heating, deceleration rate, and other parameters.	Sample return capsules, entry vehicles with lift/drag (l/d) 0.4 to < 2.0, enhanced aerodynamics for slender vehicles, entry vehicles with lift/drag (l/d) > 2.0, aerodynamics modulation hardware, control modulation software, entry guidance software
TX09.1.3	Passive Reentry Systems for SmallSats	Passive reentry systems facilitate deorbit and reentry without attitude control and propulsion systems, making these reentry systems very attractive for small satellite missions, for which the mass, volume, cost, and complexity of an active deorbit system would be prohibitive.	Drag sails; composite booms; lightweight, foldable aerobrake
TX09.1.4	Entry Modeling and Simulation	This area regards the computer codes, underlying physical models, and processes that enable performance analysis. The entry phase of entry, descent, and landing (EDL) is the most challenging to test, as there are limitations to matching the flight environments at vehicle-relevant (and even feature-relevant) scales. Therefore, modeling and simulation is critical. Modeling the entry phase includes several unique challenges requiring discipline-specific software tools. Atmospheric chemistry effects, heating, and aerodynamic forces are greatest in this flight regime.	DSMC, hypersonic aerodynamics, aerothermodynamics and TPS/thermal and thermostructural modeling, ablative material response models, non-ablative material response models, TPS quantification models and processes, numerical methodologies and techniques, autonomous aerobraking, orbital debris entry and breakup modeling, meteor entry and breakup modeling
TX09.2	Descent	Descent is a mission phase of EDL that bridges the entry and terminal descent and landing phases, with initiation typically in the low supersonic to high subsonic speed regime after the entry heat pulse is complete. The primary technical objective is to further decelerate the spacecraft and position it accurately for staging to terminal descent and landing. This deceleration can be obtained via aerodynamic forces, with systems such as inflatables or parachutes, or via a propulsion system.	
TX09.2.1	Aerodynamic Decelerators	Aerodynamic decelerators are deployable descent system components that generate aerodynamic forces on the spacecraft, principally drag for deceleration and principally lift for guidance and control. Parachutes or parafoils are traditionally employed for this purpose, but other deployable or inflatable devices, attached or trailing, may scale more effectively to higher-mass missions.	Supersonic Inflatable Aerodynamic Decelerator (SIAD); mechanically deployed decelerators and methods of active control; steerable and guided deployable decelerators; dual-mode attached decelerator systems; ballutes
TX09.2.2	Supersonic Retropropulsion	Supersonic retropropulsion (SRP) is a propulsive descent technology that initiates in the supersonic flow regime, augmenting or largely replacing aerodynamic drag for deceleration while also providing an effective means of trajectory control.	Advanced algorithms and sensors for SRP; deep-throttling, high thrust engines for Mars descent
TX09.2.3	Descent Modeling and Simulation	This area regards the computer codes, underlying physical models, and processes that enable performance analysis. In the descent regime, this are requires validation data from a number of unique facilities that span the speed range. The transition from entry to descent can involve deployments, the turning on of engines, and other events that complicate the modeling process. Stability also becomes an important concern, as aerodynamic forces weaken at lower speeds.	Decelerator system models, parachute and fluid-structure interaction tools, retropropulsion models, and stability/aerodynamics models
TX09.3	Landing	Landing is a mission phase of EDL that encompasses the terminal descent and touchdown elements, with initiation typically in the low subsonic speed regime after completion of descent. The primary objective is to facilitate the spacecraft's safe touchdown on the planetary surface with prescribed accuracy and landing loads, while not causing unacceptable risk from landing system elements, such as rocket plume impingement.	
TX09.3.1	Touchdown Systems	Touchdown systems enable safe and robust landing in conditions ranging from water to relatively uncharacterized terrain to controlled ground space.	Penetrators and spike anchors, mid-air retrieval (MAR), active landing gear, energy modulators (e.g. crushables, airbags), skids or runners
TX09.3.2	Propulsion Systems for Landing	Propulsion systems for landing enable elimination of the vertical velocity component while avoiding hazards and/or using diverting maneuvers, with the goal of a fuel efficient, safe touchdown. These systems include approaches for mitigating plume surface interaction (PSI) effects via propulsion system design or operation.	High efficiency propulsion, propulsive descent systems, deep throttling capabilities for fuel efficient and safe touchdowns
TX09.3.3	Landing Modeling and Simulation	This area regards the computer codes, underlying physical models, and processes that enable performance analysis. For landing, this area includes the terminal descent phase and the interaction of a vehicle with the planetary surface. Structural and stability analysis is important, whether the landing is accomplished via legs, airbags, crushable structures, or other mechanisms. Models will need to predict propulsion system interaction with the landed surface, encompassing predicting and mitigating damage to the landing site, landing spacecraft, and/or adjacent surface assets.	Finite element models, FSI tools, plume surface interaction (PSI) models and validation
TX09.4	Vehicle Systems	Vehicle systems enable a thorough understanding of overall design space, requirements, constraints, and available technologies. A key component of vehicle systems is the development of accurate tools for analyzing the end-to-end vehicle performance for EDL.	
TX09.4.1	Architecture Design and Analysis	Architecture analysis provides top-level analysis capabilities, enabling informed architecture trades and technology development decisions to reduce analysis cycle time, minimize life cycle costs, maximize performance, and reduce risk.	High-fidelity, integrated performance models, dynamic behavior modeling, model-based systems engineering
TX09.4.2	Separation Systems	Separation systems enable transition between EDL mission segments, including separation from cruise stage prior to entry and staged events during the atmospheric transit.	Mechanical or inflatable deployment of staged systems, rigidizable aeroshell sub-systems, propulsive-based hypersonic stage separation
TX09.4.3	System Integration and Analysis for EDL	EDL system integration and analysis implements and maintains a flexible simulation structure that evolves with the EDL system definition to enable performance, design, and risk decisions throughout the life cycle.	Event driven environment simulation
TX09.4.4	Atmosphere Characterization	Atmosphere characterization includes modeling atmospheric conditions (including pressure, temperature, and density profiles; composition; winds and wind gusts; and atmospheric turbulence) with sufficient engineering fidelity to enable simulations of EDL system performance in the presence of atmospheric uncertainties.	Descent sensors to detect the surface and determine altitude and velocity, automated systems to convert orbital data to onboard maps, advanced sensors for real-time three dimensional (3D) terrain mapping, advanced sensors for terrain imaging and surface and subsurface characterization; GRAM for solar system bodies
